Id,MachineId,ComputerName,ComputerModel,ComputerManufacturer,Architecture,ProcessorName,ProcessorCores,TotalMemoryGB,AvailableMemoryGB,MemoryUsagePercent,CreatedAt
1,1,LAPTOP-64643G0F,Windows,hinde,X64,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,8,16934494208,882900992,94.7863751869075,2025-07-03 14:09:18.3933738
2,2,AirvonThorsten,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-03 20:24:23.108892
3,3,THORSTENSDEVBOX,Windows,thorstenhindermann,Arm64,Apple Silicon,4,6436225024,903872512,85.95648056695416,2025-07-04 21:44:44.1747091
4,3,THORSTENSDEVBOX,Windows,thorstenhindermann,Arm64,Apple Silicon,4,6436225024,705691648,89.0356280992577,2025-07-04 22:02:02.5434791
5,4,Mac-mini,macOS,thorstenhindermann,Arm64,Unknown,12,0,0,0,2025-07-05 11:17:10.043725
6,4,Mac-mini,macOS,thorstenhindermann,Arm64,Unknown,12,0,0,0,2025-07-05 11:23:15.992717
7,5,ubuntu-linux-2404,Linux,parallels,Arm64,Unknown,2,2050977792,541753344,73.58560652810813,2025-07-05 13:01:50.3864016
8,6,GWDG-C5058,Windows,lu,X64,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz,12,16861265920,1441792000,91.44908806467599,2025-07-10 09:14:24.9828954
9,7,MacBook-Air-von-Thorsten,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-14 06:40:59.679307
10,7,MacBook-Air-von-Thorsten,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-14 10:33:55.594303
11,6,GWDG-C5058,Windows,lu,X64,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz,12,16861265920,837812224,95.03114280994626,2025-07-14 12:05:06.3480316
12,6,GWDG-C5058,Windows,lu,X64,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz,12,16861265920,919601152,94.54607289652425,2025-07-14 12:05:41.3321738
13,8,new-host-15,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-19 15:46:22.018588
14,8,new-host-15,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-19 15:48:16.172119
15,8,new-host-15,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-19 17:24:41.679288
16,9,NB-3L6VWL3,macOS,thorstenhindermann,Arm64,Unknown,12,0,0,0,2025-07-19 21:43:42.014172
17,9,NB-3L6VWL3,macOS,thorstenhindermann,Arm64,Unknown,12,0,0,0,2025-07-19 21:45:52.508599
18,7,MacBook-Air-von-Thorsten,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-21 14:59:55.525322
19,7,MacBook-Air-von-Thorsten,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-21 15:07:14.99164
20,7,MacBook-Air-von-Thorsten,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-21 15:07:34.568069
21,9,NB-3L6VWL3,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-21 20:28:45.636151
22,7,MacBook-Air-von-Thorsten,macOS,thorstenhindermann,Arm64,Unknown,8,0,0,0,2025-07-22 05:57:53.27825
23,6,GWDG-C5058,Windows,lu,X64,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz,12,16861265920,2103443456,87.52499684199276,2025-07-22 07:16:33.346932
24,10,GWDG-C6136,Windows,thinder,X64,Unknown,22,0,52086964224,0,2025-07-22 14:26:57.0501449
25,10,GWDG-C6136,Windows,thinder,X64,Unknown,22,0,46263173120,0,2025-07-23 08:04:03.6953395
26,10,GWDG-C6136,Windows,thinder,X64,Unknown,22,0,37047238656,0,2025-07-23 20:46:59.27735
27,10,GWDG-C6136,Linux,thinder,X64,Intel(R) Core(TM) Ultra 7 165H,22,33366380544,32459948032,2.716604250211359,2025-07-24 06:23:49.3133575
28,10,GWDG-C6136,Linux,thinder,X64,Intel(R) Core(TM) Ultra 7 165H,22,33366380544,32492990464,2.6175751332940265,2025-07-24 06:27:06.6303044
29,10,GWDG-C6136,Linux,thinder,X64,Intel(R) Core(TM) Ultra 7 165H,22,33366368256,32531140608,2.5032021513153677,2025-07-24 10:35:15.2379252
30,10,GWDG-C6136,Windows,thinder,X64,Unknown,22,0,50275024896,0,2025-07-24 20:04:41.0809159
31,10,GWDG-C6136,Linux,thinder,X64,Intel(R) Core(TM) Ultra 7 165H,22,33366376448,32533721088,2.49549231483873,2025-07-24 20:09:53.7578129
