Id,Name,OperatingSystem,LastSeen,CreatedAt
1,LAPTOP-64643G0F,Microsoft Windows NT 10.0.22631.0,2025-07-03 14:08:17.8682835,2025-07-03 14:01:03.0079651
2,AirvonThorsten,Unix 15.5.0,2025-07-03 20:23:58.208636,2025-07-03 20:23:58.242269
3,THORSTENSDEVBOX,Microsoft Windows NT 10.0.26120.0,2025-07-04 22:00:33.9176342,2025-07-04 21:43:51.1356557
4,Mac-mini,Unix 15.5.0,2025-07-11 21:32:57.551391,2025-07-05 11:17:00.203188
5,ubuntu-linux-2404,Unix 6.8.0.63,2025-07-05 13:01:33.2799632,2025-07-05 13:01:33.3354945
6,GWDG-C5058,Microsoft Windows NT 10.0.26100.0,2025-07-22 07:16:16.1737533,2025-07-10 09:13:17.9416051
7,MacBook-Air-von-Thorsten,Unix 15.5.0,2025-07-22 05:56:23.863915,2025-07-14 06:40:28.615245
8,new-host-15,Unix 15.5.0,2025-07-19 17:24:30.900303,2025-07-19 15:46:01.576562
9,NB-3L6VWL3,Unix 15.5.0,2025-07-21 20:28:34.216232,2025-07-19 21:42:59.61704
10,GWDG-C6136,Microsoft Windows NT 10.0.26100.0,2025-07-24 20:10:40.0376701,2025-07-22 14:26:14.5675761
